会员卡号,入会时间,性别,会员卡级别,工作地,所属国家,年龄
19108,2006/11/5,男,4,北京,CN,44
57597,2008/8/28,女,4,广东,CN,42
31800,2010/10/16,男,4,上海,CN,35
6044,2011/11/15,男,4,上海,CN,29
37925,2013/2/5,男,4,新疆,CN,37
37515,2010/12/11,女,4,北京,CN,36
34919,2012/1/16,男,4,江苏,CN,34
49506,2010/7/2,男,4,河北,CN,47
50694,2011/12/5,男,4,广东,CN,29
31232,2009/11/9,女,4,北京,CN,34
39,2009/12/23,男,4,广东,CN,46
27027,2007/3/8,男,4,新疆,CN,
28556,2011/6/7,男,4,广东,CN,40
21041,2008/2/8,男,4,广西,CN,46
9742,2006/7/20,男,4,广东,CN,58
4560,2010/6/11,男,4,广东,CN,46
37017,2007/2/5,女,4,北京,CN,37
46970,2013/1/4,女,4,广东,CN,29
55358,2008/4/13,男,4,广东,CN,38
12888,2009/1/23,女,4,北京,CN,46
39977,2009/1/16,女,4,黑龙江,CN,63
24758,2012/8/13,女,4,新疆,CN,30
58743,2010/9/27,男,4,广东,CN,28
24126,2012/10/14,男,4,海南,CN,51
1509,2011/5/27,男,6,北京,CN,37
45202,2011/1/15,女,4,北京,CN,34
40291,2009/11/15,女,4,广东,CN,42
20360,2005/7/30,男,4,广东,CN,34
60004,2011/10/25,男,4,广东,CN,38
10125,2007/4/10,男,4,北京,CN,52
18812,2006/3/5,男,4,广东,CN,50
50971,2012/5/25,女,4,广东,CN,28
8210,2010/7/27,男,4,湖南,CN,47
59544,2011/7/14,男,4,山东,CN,38
30522,2009/3/11,男,4,北京,CN,44
59760,2012/2/10,男,4,广东,CN,33
54104,2010/2/23,男,4,广东,CN,38
9047,2010/11/17,男,4,广东,CN,45
27757,2006/4/23,男,4,北京,CN,38
15750,2012/7/19,男,4,.,CN,39
34172,2012/11/15,男,4,广东,CN,61
7604,2010/3/19,男,4,江苏,CN,29
23829,2011/9/30,男,4,北京,CN,41
25320,2012/12/11,女,4,河南,CN,61
7544,2009/4/8,男,4,吉林,CN,47
46063,2006/12/28,男,4,广东,CN,38
28718,2012/4/12,男,4,广东,CN,30
53903,2008/1/5,男,4,上海,BE,56
28270,2007/8/2,男,4,广西,CN,47
27447,2012/6/19,男,4,广东,CN,38
45694,2006/4/17,男,4,北京,CN,42
41628,2012/1/5,男,4,北京,CN,30
3252,2009/6/10,女,4,贵州,CN,69
1507,2011/5/22,男,4,辽宁,CN,36
47475,2007/4/19,男,4,北京,CN,41
38320,2005/11/1,男,4,北京,CN,48
31161,2009/8/4,男,4,浙江,CN,41
34487,2013/1/1,女,4,广东,CN,28
60425,2012/4/3,男,4,新疆,CN,42
56760,2012/4/12,男,4,河南省,CN,46
35272,2010/3/7,男,4,浙江,CN,38
363,2012/4/17,女,4,辽宁,CN,38
27694,2006/4/2,女,4,北京,CN,38
38674,2007/9/8,男,4,北京,CN,56
41678,2012/1/3,男,4,吉林,CN,28
2504,2008/12/30,男,4,贵州,CN,49
41095,2011/2/19,男,4,广东,CN,40
3905,2009/1/15,男,4,广东,CN,43
34782,2011/4/1,女,4,辽宁,CN,46
22461,2010/4/8,女,4,湖南,CN,48
37232,2007/6/24,男,5,上海,CN,45
30456,2008/7/9,男,4,上海,CN,50
55402,2009/3/4,男,4,北京,CN,42
23944,2011/9/22,男,4,北京,CN,41
30766,2012/3/23,男,4,北京,CN,55
39926,2010/6/18,男,4,上海,CN,45
3750,2009/2/18,男,4,广东,CN,39
6983,2012/10/30,男,4,广东,CN,31
49205,2009/12/9,男,4,江苏,CN,53
47813,2007/10/10,男,4,,PH,48
22977,2011/9/8,男,4,广东,CN,33
22645,2012/7/22,男,4,广东,CN,26
43714,2010/5/20,男,4,,CN,71
59199,2011/5/19,女,4,北京,CN,65
26241,2010/3/19,男,4,黑龙江,CN,38
47182,2005/3/19,男,4,广东,CN,42
42945,2012/10/2,女,4,Seoul,KR,30
54407,2012/4/24,男,4,广东,CN,28
24111,2011/12/24,男,4,广东,CN,45
26684,2007/4/26,女,4,辽宁,CN,37
33062,2011/11/7,男,4,北京,CN,38
62262,2011/6/1,男,4,新疆,CN,45
41027,2012/7/9,男,4,,SG,61
19568,2010/7/11,男,4,广东,CN,38
21689,2008/9/22,女,4,广东,CN,44
16522,2013/3/21,男,4,辽宁,CN,44
31176,2009/9/26,男,4,北京,CN,41
57787,2009/3/20,女,4,新疆,CN,42
40240,2011/3/5,男,4,广东,CN,49
5024,2011/3/4,男,4,广东,CN,33
44832,2005/9/9,男,4,吉林省,CN,48
48770,2008/7/28,男,4,北京,CN,42
48815,2009/8/20,男,4,北京,CN,32
48260,2010/5/16,男,4,MIE-KEN,JP,69
1367,2010/2/26,男,4,CA,US,55
698,2006/6/1,女,4,,HK,49
11390,2007/8/9,男,4,北京,CN,53
58781,2010/4/24,男,4,SINGAPORE,SG,53
18756,2006/3/15,男,4,广东,CN,49
59935,2011/9/28,男,4,吉林,CN,38
38340,2005/11/28,男,4,上海,CN,55
6812,2012/11/28,女,4,北京,CN,30
54718,2006/3/28,男,4,,TW,51
7677,2010/6/7,男,4,,CN,37
57547,2008/11/18,男,4,海南,CN,48
34302,2013/1/10,男,4,新疆,CN,39
60369,2012/5/4,男,4,.,CN,46
28504,2010/12/21,男,4,北京,CN,50
18801,2006/4/29,男,4,广东,CN,66
13734,2010/12/17,男,4,湖南,CN,34
3007,2008/1/3,女,4,广东,CN,40
34790,2011/5/6,女,4,辽宁,CN,26
1314,2009/7/10,男,4,北京,CN,51
59100,2011/5/4,男,4,江苏,CN,44
36456,2012/11/2,男,4,广东,CN,30
11849,2008/6/30,男,4,,CN,54
22925,2012/12/8,男,4,.,CN,34
46810,2012/5/29,女,4,广东,CN,28
43818,2010/4/29,男,5,辽宁,CN,46
31006,2009/4/19,男,4,,CN,41
11459,2007/9/13,男,4,广东,CN,30
27727,2006/4/26,男,4,上海,CN,46
50012,2011/3/22,男,4,山东,CN,38
57261,2008/5/15,男,4,广东,CN,32
32763,2012/7/30,男,4,江西,CN,62
37219,2007/6/8,男,4,黑龙江,CN,34
54206,2011/1/4,男,4,北京,CN,48
41273,2011/9/2,女,4,湖南,CN,26
6351,2012/5/22,男,4,辽宁,CN,30
29164,2005/4/29,男,4,杭州,CN,43
7209,2013/1/17,男,4,上海,CN,42
35270,2010/5/18,男,4,北京,CN,42
46485,2010/6/16,男,4,广东,CN,34
35470,2005/9/9,男,4,辽宁,CN,44
61253,2013/1/23,男,4,湖北,CN,33
11441,2007/6/1,男,4,福建,CN,40
16053,2012/11/22,男,4,河南,CN,34
29304,2005/8/27,男,4,广东,CN,37
48977,2009/2/7,男,4,广东,CN,42
36393,2012/7/10,女,4,广东,CN,42
26629,2006/3/14,女,4,辽宁,CN,50
58458,2009/12/23,男,4,广东,CN,40
28288,2007/10/13,男,4,广东,CN,47
24117,2011/11/1,女,4,新疆,CN,53
17469,2010/12/1,男,4,天津,CN,36
27036,2007/11/26,男,4,新疆,CN,34
40685,2010/7/20,男,4,上海,CN,30
13136,2011/8/18,男,4,Seoul,KR,51
57405,2008/6/6,男,4,广东,CN,41
38860,2008/1/14,女,4,北京,CN,41
19712,2011/8/11,男,4,辽宁,CN,56
2973,2008/2/9,男,4,北京,CN,57
18369,2011/6/23,男,4,辽宁,CN,43
53089,2012/5/14,男,4,黑龙江,CN,39
60286,2011/11/19,男,4,天津,CN,48
17376,2009/10/10,男,4,,CN,
59581,2012/3/27,女,4,辽宁,CN,34
16759,2010/4/4,男,4,北京,CN,35
45631,2006/2/20,男,4,广西,CN,69
54342,2011/10/8,男,4,北京,CN,36
7370,2013/3/7,女,4,广东,CN,31
53627,2006/5/19,男,4,吉林,CN,55
51136,2012/8/29,男,4,CACI,US,57
17219,2011/11/1,男,4,黑龙江,CN,48
22222,2009/8/6,男,4,广东,CN,45
38639,2007/7/13,男,5,广东,CN,56
18983,2006/8/25,女,4,,CN,55
45051,2009/10/2,女,4,广西,CN,56
18653,2012/5/16,男,4,广东,CN,35
1514,2011/6/13,男,4,海南,CN,37
30770,2008/11/16,男,4,CA,US,42
57808,2008/11/16,女,4,CA,US,
62828,2008/3/14,男,6,黑龙江,CN,45
27686,2006/3/11,男,4,广东,CN,38
62621,2006/12/6,男,4,吉林,CN,47
21890,2011/2/3,男,4,四川,CN,46
62669,2007/5/30,男,4,吉林,CN,47
34923,2011/11/14,女,4,广东省,CN,55
61212,2012/12/28,男,6,广东,CN,46
29230,2005/7/2,男,4,,CN,52
31783,2010/12/26,女,4,广东,CN,27
23029,2010/12/24,男,4,广东,CN,38
45942,2006/10/14,男,4,北京,CN,45
25472,2013/1/26,女,4,新疆,CN,43
30041,2008/5/12,男,4,北京,CN,45
62974,2008/9/5,男,4,,CN,46
2336,2005/9/15,男,4,湖北,CN,38
35537,2006/6/19,男,4,辽宁,CN,44
11367,2005/11/7,男,4,江苏,CN,40
27983,2006/10/29,男,4,北京,CN,55
7820,2010/12/24,女,4,深圳,CN,44
55346,2006/9/12,女,4,河南,CN,37
25464,2013/2/1,男,4,吉林省,CN,46
59339,2011/5/25,男,4,吉林,CN,39
4132,2006/6/1,男,4,广东,CN,45
23533,2012/4/19,男,4,内蒙古,CN,47
3681,2009/2/19,男,4,北京,CN,43
24405,2012/4/20,男,4,新疆,CN,42
21585,2011/8/10,男,4,湖南,CN,34
25927,2010/12/30,女,4,辽宁,CN,28
5797,2012/2/24,女,4,广东,CN,57
45811,2006/6/6,男,4,北京,CN,52
41708,2012/6/24,男,4,广东,CN,32
10701,2012/6/9,男,4,上海,CN,32
58628,2010/3/30,男,4,安徽,CN,54
6890,2012/9/2,男,4,HARYAN,IN,64
4854,2010/10/30,女,4,广东,CN,44
2611,2007/9/2,男,4,北京,CN,37
12501,2008/7/22,男,4,山东,CN,44
52312,2013/3/30,男,4,*,CN,43
36834,2006/9/1,男,6,北京,CN,38
37670,2012/3/8,男,4,广东,CN,36
37817,2012/10/9,男,6,贵州,CN,56
16943,2012/2/17,男,4,上海,CN,37
46794,2012/5/5,男,4,,TW,47
18699,2006/1/24,男,4,广东,CN,45
23401,2011/5/7,女,5,广东,CN,28
58921,2010/11/29,男,4,山东省,CN,46
44976,2006/8/23,女,4,新疆,CN,47
28635,2011/12/5,男,4,四川,CN,48
32813,2012/3/7,女,5,广东省,CN,29
25082,2012/9/10,男,4,广东,CN,33
23510,2011/9/6,女,4,广东,CN,30
11906,2008/1/14,男,4,上海,CN,34
8546,2006/5/29,男,4,吉林,CN,38
36787,2006/7/26,女,4,上海,CN,39
13619,2010/4/17,男,4,广东,CN,32
34119,2013/1/1,女,4,黑龙江,CN,48
29265,2005/8/4,男,4,北京,CN,46
53572,2005/11/25,男,4,辽宁,CN,41
16776,2009/6/12,男,4,incheon,KR,52
41897,2011/9/20,男,4,北京,CN,35
7257,2013/1/8,男,4,辽宁,CN,54
51770,2012/8/28,男,4,天津,CN,44
54820,2006/7/11,男,4,北京,CN,36
1732,2012/7/11,男,4,广东,CN,40
35338,2011/4/14,男,4,北京,CN,46
19414,2007/10/19,男,4,福建,CN,43
8235,2009/7/20,男,4,河南,CN,46
57129,2008/4/29,男,4,上海,CN,43
30387,2009/8/16,男,5,NORTHAMPTONSHIRE,UK,68
54743,2006/5/7,男,4,上海,CN,42
59193,2011/1/7,男,4,四川,CN,46
17900,2008/12/4,女,4,吉林,CN,39
29374,2005/11/29,男,4,北京,CN,48
51160,2011/12/19,男,4,浙江,CN,32
11137,2005/4/23,男,4,,CN,46
44391,2010/6/9,男,4,四川,CN,53
31790,2010/10/27,男,4,江苏,CN,48
15152,2011/11/19,男,4,广东,CN,45
55208,2007/3/1,男,4,河南,CN,49
48892,2011/4/8,男,4,广东,CN,42
48806,2009/2/16,女,4,广东,CN,46
46030,2006/12/13,男,4,上海,CN,41
59281,2011/6/23,男,4,AICHI,JP,58
34604,2009/9/18,男,4,浙江,CN,35
33425,2012/5/15,女,4,青海,CN,44
5744,2011/8/7,男,4,山东,CN,48
45138,2010/11/17,男,4,上海,CN,54
37744,2012/6/23,男,4,江苏,CN,31
49241,2009/8/15,男,4,北京,CN,40
2179,2005/5/17,女,4,,CN,39
11290,2005/8/22,男,4,北京,CN,43
21630,2008/8/24,男,4,香港,HK,45
43313,2013/2/27,男,4,Tokyo-to,JP,34
7917,2012/10/16,男,4,贵州,CN,48
10979,2004/11/30,男,4,广东,CN,53
27477,2012/8/23,女,4,广东,CN,45
55199,2007/3/24,女,4,广东,CN,32
26460,2010/12/13,男,4,福建,CN,38
37367,2009/10/13,男,4,广东省,CN,52
16679,2009/6/23,男,4,,KR,66
14786,2011/10/19,男,4,吉林,CN,34
21709,2008/10/27,男,4,广东,CN,51
61480,2013/3/16,男,4,辽宁,CN,38
41741,2011/9/6,女,4,上海市,CN,29
26849,2008/12/13,女,4,吉林,CN,45
14956,2011/10/6,男,4,吉林,CN,40
8237,2009/5/1,男,4,新疆,CN,25
57956,2012/1/19,女,4,,MO,27
48893,2009/3/1,男,4,CHIBA-KEN,JP,62
43657,2009/3/19,男,5,辽宁,CN,41
16479,2013/3/27,男,4,.,CN,45
40094,2009/12/23,男,4,广东,CN,43
45375,2005/10/9,男,5,广东,CN,47
51593,2012/6/22,男,4,新疆,CN,35
47269,2005/5/30,男,4,河南,CN,53
15725,2012/8/6,男,4,北京,CN,36
62329,2010/11/24,男,4,江苏,CN,47
58196,2009/6/11,女,4,广东,CN,35
3721,2008/9/24,男,4,广东,CN,58
29816,2007/12/13,女,4,北京,CN,37
57632,2010/10/1,男,4,黑龙江,CN,50
16994,2012/3/14,女,4,辽宁,CN,42
25907,2011/1/30,男,4,吉林,CN,45
54636,2006/1/27,男,4,广东,CN,37
2523,2007/6/3,男,4,,NL,40
42720,2012/9/20,男,4,BC,CA,41
29305,2005/9/2,男,4,广东省,CN,44
23270,2011/10/18,男,4,SHIZUOKA-KEN,JP,58
22963,2011/5/27,男,4,广东,CN,49
7217,2012/12/29,女,4,.,CN,33
25085,2012/12/6,男,4,HONG KONG,HK,29
10002,2007/1/16,女,4,山西,CN,38
48237,2008/8/20,女,4,广东,CN,28
770,2006/7/4,男,4,广东,CN,37
45934,2006/11/1,男,4,,HK,59
37701,2012/4/11,男,4,辽宁,CN,34
60362,2012/6/15,男,4,北京,CN,50
7377,2013/3/8,男,4,辽宁,CN,42
8636,2007/6/1,女,4,辽宁省,CN,79
46609,2011/7/1,男,4,上海,CN,46
4848,2011/1/1,男,4,上海,CN,36
59792,2011/7/25,男,4,北京,CN,34
58657,2010/5/15,女,4,河北,CN,36
45017,2008/3/19,男,4,新疆,CN,39
17857,2008/3/1,女,4,上海,CN,41
38087,2005/3/14,男,4,广东,CN,72
26877,2007/10/18,男,4,山东省,CN,41
54841,2006/7/27,男,4,上海,CN,40
5102,2012/5/11,男,4,广东,CN,57
24844,2012/7/5,男,4,北京,CN,42
55635,2011/6/13,男,4,湖南,CN,35
25289,2012/12/26,男,4,广东,CN,30
53507,2005/10/8,男,5,吉林,CN,78
28197,2007/5/11,男,4,上海,CN,42
51741,2012/9/16,男,4,广西,CN,43
12271,2008/4/30,男,4,广东,CN,35
22068,2009/2/7,男,4,广东,CN,38
28626,2011/11/10,男,4,北京,CN,37
52144,2012/10/1,男,5,广东,CN,49
2144,2005/4/18,男,4,,US,61
49261,2009/9/10,男,4,湖北,CN,37
20242,2005/4/1,女,4,黑龙江,CN,45
15134,2011/11/24,男,4,上海,CN,38
44890,2007/12/14,男,4,,CN,39
23864,2011/10/19,女,4,广东,CN,38
19793,2012/1/27,女,4,广东,CN,26
17784,2009/1/9,男,4,吉林,CN,42
61274,2012/12/31,男,4,广东,CN,39
12937,2009/7/13,女,4,湖北,CN,29
8011,2012/5/10,男,5,上海,CN,45
55055,2006/10/7,男,4,上海,CN,39
60628,2012/6/3,男,4,浙江,CN,52
41164,2011/3/20,男,4,广东,CN,49
62875,2006/4/13,女,4,新疆,CN,38
3822,2010/4/19,男,4,福建,CN,33
8428,2005/12/3,女,4,吉林,CN,45
45338,2011/11/8,男,4,河南,CN,42
11545,2007/9/16,男,4,北京,CN,57
36270,2011/9/14,男,4,广东省,CN,39
23665,2011/12/7,女,5,广东,CN,40
46282,2007/6/23,男,4,广东,CN,44
55922,2012/10/31,男,4,辽宁,CN,57
60457,2012/5/15,男,4,北京,CN,42
35131,2010/6/11,女,4,黑龙江,CN,34
17435,2010/8/1,男,4,新疆,CN,56
48462,2008/6/22,女,4,广东,CN,43
20912,2008/1/9,男,4,北京,CN,47
31912,2011/1/4,男,4,云南,CN,29
5307,2011/4/15,男,4,上海,CN,42
62274,2010/7/30,男,4,新疆,CN,55
508,2013/1/21,男,4,辽宁,CN,29
11050,2005/2/5,男,4,北京,CN,65
11757,2008/1/30,男,4,北京,CN,41
45569,2005/12/9,男,4,广东,CN,55
7097,2012/12/3,男,4,广东,CN,30
56869,2008/3/18,男,4,广东,CN,52
6996,2012/10/20,男,4,内蒙古,CN,37
17139,2012/6/8,男,4,上海,CN,60
14718,2011/11/30,女,4,广东,CN,28
16008,2012/8/24,男,4,湖南,CN,44
52709,2009/9/16,男,4,吉林,CN,46
5536,2012/1/1,男,4,Holland,NL,45
54213,2011/1/13,男,4,北京,CN,33
5799,2011/12/29,男,4,上海,CN,54
43103,2012/11/25,女,4,辽宁,CN,24
27533,2012/11/20,男,4,广东,CN,54
47252,2005/5/14,男,4,上海,CN,43
13162,2009/6/1,男,4,广东,CN,34
30708,2008/9/15,女,4,新疆,CN,37
34208,2013/3/21,男,4,上海,CN,59
59866,2011/12/26,女,4,河南省,CN,55
61299,2013/1/10,男,4,广东,CN,30
34636,2009/10/1,男,4,辽宁,CN,47
5557,2011/1/1,男,4,广东省,CN,30
23333,2011/3/31,男,4,,CN,42
40574,2010/4/12,女,4,广东,CN,48
23902,2011/9/27,男,5,浙江,CN,34
25796,2009/5/29,男,4,福建,CN,32
50529,2011/12/2,女,4,广西,CN,56
21422,2008/6/4,女,5,广东,CN,34
48047,2008/4/24,男,4,广东,CN,64
12546,2010/5/28,女,4,CA,US,31
57716,2009/8/24,男,4,广东,CN,38
54907,2006/9/11,男,4,广东,CN,36
47873,2008/3/5,男,4,广东,CN,55
26183,2012/5/29,男,4,广东,CN,29
31689,2010/10/28,女,4,辽宁,CN,33
27765,2006/5/13,男,4,河北,CN,39
22497,2009/12/14,女,4,广东,CN,46
17769,2007/1/8,男,4,吉林,CN,45
13498,2010/12/7,女,4,上海,CN,36
37529,2007/10/12,男,6,北京,CN,50
10296,2009/4/26,男,4,广东,CN,39
17634,2006/7/19,男,4,吉林,CN,43
34856,2011/3/12,男,4,辽宁省,CN,32
24627,2009/10/22,男,4,陕西,CN,41
21668,2008/9/11,男,4,北京,CN,31
12818,2007/6/22,男,4,黑龙江,CN,49
39700,2008/10/22,男,4,广州,CN,45
34791,2011/5/22,男,4,吉林,CN,40
58544,2010/12/30,男,4,海南,CN,43
19716,2011/8/19,男,4,重庆,CN,36
30458,2008/7/22,男,4,河南,CN,44
4858,2012/9/5,男,4,广东,CN,50
53212,2012/6/2,女,4,黑龙江,CN,46
52710,2009/9/14,女,4,吉林,CN,54
30640,2008/10/27,男,4,广东,CN,51
30900,2009/2/19,男,4,广东,CN,33
34912,2011/10/27,男,4,河北省,CN,38
51339,2012/4/2,女,4,上海,CN,39
59354,2012/3/21,男,4,北京,CN,31
11423,2007/6/2,男,4,PENANG,MY,65
11569,2007/8/5,女,4,北京,CN,50
60060,2011/11/1,男,4,北京,CN,66
27871,2006/8/5,男,4,上海,CN,41
52156,2012/12/10,男,4,广东,CN,33
3592,2008/8/14,男,4,广东,CN,48
1586,2011/10/23,男,4,,US,54
38858,2007/12/21,女,4,上海,CN,48
37586,2011/8/23,女,4,广东,CN,30
32632,2011/9/15,男,4,辽宁,CN,58
51642,2012/7/19,男,4,新疆,CN,41
29100,2005/2/4,男,4,广东,CN,50
19617,2010/10/22,男,5,辽宁,CN,31
62452,2005/10/14,男,4,吉林,CN,47
16477,2013/3/19,男,4,北京,CN,44
58678,2011/5/25,男,4,浙江,CN,33
40511,2010/6/22,女,4,广东,CN,29
303,2011/10/16,女,4,辽宁,CN,29
2302,2005/8/27,女,4,广东,CN,61
21330,2009/1/13,男,4,湖南,CN,47
38607,2008/2/16,女,4,广东,CN,56
49450,2010/3/9,女,4,北京,CN,39
27362,2011/10/24,男,4,广东,CN,53
55164,2007/2/28,男,4,广东,CN,47
60851,2012/8/10,男,4,北京,CN,36
17396,2009/9/28,男,4,新疆,CN,47
56485,2007/6/7,男,4,北京,CN,42
8667,2007/8/28,男,4,吉林,CN,52
9714,2006/6/25,男,4,北京,CN,48
50610,2012/2/10,男,4,辽宁,CN,41
50209,2012/6/9,男,4,广东,CN,38
16436,2013/3/13,男,4,湖南,CN,33
56263,2005/5/19,男,4,广东,CN,35
40187,2009/11/1,男,4,安徽,CN,52
317,2011/12/12,男,4,广东,CN,35
49360,2009/10/12,男,4,浙江,CN,32
57628,2009/1/20,男,4,上海,CN,49
57259,2008/4/30,男,4,湖北,CN,51
10206,2007/7/11,男,4,广东,CN,49
15065,2012/4/13,男,4,福建,CN,48
37205,2007/6/18,男,4,广东,CN,42
24236,2012/1/16,男,4,北京,CN,46
7632,2008/3/5,女,4,吉林,CN,34
22370,2011/8/10,男,4,CA,US,62
43427,2013/1/9,男,4,.,CN,48
25890,2010/4/20,男,4,吉林,CN,41
49552,2010/4/19,女,4,湖北,CN,41
55912,2012/10/19,男,5,广东,CN,61
56853,2007/11/21,男,4,广东,CN,48
20580,2007/4/25,男,4,上海,CN,56
45740,2006/5/25,女,4,广东,CN,46
16767,2010/3/28,男,5,YENSU,KR,52
47222,2005/4/22,男,4,,CN,58
24521,2012/4/23,男,4,广东省,CN,40
11045,2005/2/1,男,4,北京,CN,47
24484,2012/7/13,男,4,,HK,49
58019,2009/4/20,女,4,北京,CN,39
35281,2010/8/10,女,4,新疆,CN,51
4952,2010/12/27,男,4,辽宁,CN,50
58450,2010/3/3,男,4,广东,CN,32
53043,2011/8/25,男,4,辽宁,CN,34
27145,2010/8/15,男,4,湖北,CN,33
18456,2012/1/1,女,4,浙江,CN,27
61481,2013/3/17,男,4,新疆,CN,40
30686,2008/10/15,男,4,北京,CN,38
41569,2011/8/30,男,4,辽宁,CN,39
36588,2006/2/23,女,4,,CN,32
43163,2012/10/5,男,4,广东,CN,30
3131,2008/3/13,男,4,北京,CN,52
6028,2012/7/1,男,4,广东,CN,31
39002,2008/7/18,男,4,重庆,CN,37
57299,2008/5/16,男,4,海南,CN,46
31267,2010/5/14,男,4,广东,CN,62
48673,2008/12/23,男,4,上海,CN,33
2383,2005/10/27,女,4,辽宁省,CN,32
29751,2007/11/1,男,5,广东,CN,61
24050,2011/12/6,男,4,湖北,CN,54
23382,2012/3/7,男,4,SHIGA-KEN,JP,46
12237,2008/6/3,男,4,北京,CN,53
5846,2012/4/26,男,4,江苏,CN,60
56669,2007/8/2,男,4,北京,CN,38
56984,2007/12/16,男,4,上海,CN,36
29028,2004/11/6,男,4,广东省,CN,54
2549,2007/8/9,女,4,北京,CN,36
47239,2005/5/4,女,4,河南,CN,38
25540,2013/3/16,男,4,新疆,CN,36
41099,2011/3/1,男,4,辽宁,CN,32
52721,2009/7/16,男,4,吉林,CN,44
49722,2010/8/14,男,4,黑龙江,CN,45
36778,2006/6/13,男,4,北京,CN,43
48419,2008/7/4,男,4,广东,CN,43
43051,2012/9/22,男,4,广东,CN,36
42581,2012/11/17,男,4,,CN,38
35707,2008/1/24,女,4,辽宁,CN,53
21820,2008/12/1,男,4,北京,CN,53
3269,2008/12/17,男,4,广东,CN,46
48706,2010/1/8,男,4,湖北,CN,40
15589,2012/7/2,女,4,河南,CN,46
29193,2005/5/29,女,4,kk,CN,51
48772,2008/12/7,男,4,山东,CN,53
36519,2012/10/4,女,4,广东,CN,30
34561,2009/4/2,女,4,辽宁,CN,54
805,2006/8/4,男,4,,CN,45
33120,2011/12/21,男,4,广东,CN,54
4684,2011/2/23,男,4,CA,US,60
5662,2011/9/26,男,4,,US,35
40319,2009/10/16,男,4,广东,CN,40
17816,2007/7/21,男,4,山东,CN,50
42835,2012/9/30,男,4,福建,CN,41
6761,2012/9/21,女,4,新疆,CN,37
3841,2008/11/6,男,4,北京,CN,39
62520,2007/10/31,男,4,辽宁,CN,52
25786,2009/5/20,男,4,四川省,CN,55
26542,2011/8/21,男,4,上海,CN,62
4205,2009/12/7,男,4,,JP,46
55228,2007/4/3,男,4,上海,CN,48
38549,2007/8/5,男,4,广东,CN,58
39405,2008/8/16,女,4,北京,CN,41
15335,2012/4/23,男,4,吉林省,CN,59
57535,2010/1/6,女,4,辽宁,CN,47
14017,2012/7/26,男,4,北京市,CN,45
62166,2012/8/23,男,4,辽宁,CN,33
46615,2011/7/13,男,4,北京,CN,31
47000,2013/1/30,男,5,陕西,CN,51
34041,2012/11/24,男,4,,CN,49
60729,2012/6/13,男,4,广东,CN,32
9981,2007/1/14,女,4,北京,CN,59
50871,2011/11/3,男,4,广东,CN,50
61598,2010/7/18,男,4,辽宁,CN,48
35507,2006/2/2,女,4,辽宁,CN,38
15827,2012/8/22,男,5,河南省,CN,45
12844,2013/1/30,男,4,新疆,CN,40
43470,2013/1/16,男,4,陕西,CN,38
32950,2012/1/15,男,4,NSW,AU,21
5716,2012/8/12,女,4,广东,CN,25
2423,2007/8/27,男,4,广东,CN,46
15292,2012/1/19,男,4,辽宁,CN,40
18907,2006/6/28,男,4,广东,CN,57
7027,2012/12/1,女,4,贵州,CN,38
15905,2012/8/17,男,4,北京,CN,39
24881,2012/6/30,男,4,TOKYO-TO,JP,38
41276,2012/3/3,女,4,湖南,CN,32
56895,2007/10/26,男,4,广东,CN,44
61135,2012/12/7,男,4,新疆,CN,40
54774,2006/6/4,男,4,湖南,CN,44
42950,2012/10/8,男,4,NSW,AU,38
27256,2007/4/20,女,4,广东,CN,33
37911,2013/1/19,女,4,辽宁,CN,57
1970,2013/3/14,男,4,上海,CN,36
40460,2009/12/19,男,4,广东,CN,39
49471,2010/5/26,男,4,上海,CN,44
22424,2010/7/1,男,4,北京,CN,42
42668,2012/8/8,男,4,辽宁,CN,33
42275,2012/6/5,男,4,.,CN,38
37669,2012/2/22,女,4,广东,CN,25
23150,2011/2/5,女,4,HONG KONG,HK,42
16102,2012/9/10,男,4,新疆,CN,32
28926,2013/1/4,男,4,北京,CN,34
59110,2011/8/2,男,4,。,CN,36
40652,2010/4/12,男,4,北京,CN,49
44380,2010/9/29,男,4,新疆,CN,51
41772,2011/12/18,女,4,江苏省,CN,42
61885,2011/2/24,女,4,-,CN,32
26902,2007/11/24,男,4,黑龙江,CN,39
25993,2011/1/14,男,4,吉林,CN,47
47602,2007/9/6,男,4,广东,CN,46
28061,2007/2/1,男,4,广东,CN,37
38212,2005/6/7,男,4,,CN,44
40171,2010/6/24,男,4,上海,CN,38
58016,2012/4/21,男,4,湖南,CN,51
29680,2007/9/26,男,4,广东,CN,29
50812,2012/9/6,男,4,黑龙江,CN,41
46457,2010/1/17,女,4,广东,CN,43
2992,2008/1/8,男,5,山东,CN,44
23690,2012/7/12,女,4,四川,CN,35
62876,2006/4/13,男,4,新疆,CN,40
39660,2008/10/12,男,4,上海,CN,52
62861,2008/11/26,男,5,黑龙江,CN,55
58925,2011/4/11,男,4,上海,CN,44
30276,2008/7/5,女,4,上海,CN,46
17856,2007/6/6,男,4,辽宁省,CN,49
61237,2012/12/10,男,4,Shizuoka-ken,JP,44
14901,2011/8/7,男,4,湖北,CN,42
1458,2010/10/31,男,4,广东,CN,29
44333,2009/10/17,男,4,黑龙江,CN,48
53054,2011/11/24,男,4,辽宁省,CN,41
13055,2009/8/1,女,4,广东,CN,39
54669,2006/2/12,男,4,广东,CN,47
